Track ID,Entry time,Exit Time,Movement Tracks
26,10,105,222,37,226,32,228,29,230,26
2,5,110,135,51,145,48,152,41,159,34,163,32,172,28
6,5,135,66,106,66,105,64,104,63,102,61,101,61,102,60,101,59,102,59,102,58,102,59,101
9,5,140,1028,120,1031,123,1033,128,1033,134,1035,136,1036,146,1043,151,1047,154,1052,168,1053,173,1063,155
39,45,150,617,583,615,575,608,565,604,555,598,541,595,532
1,5,160,910,39,912,39,917,41,916,41,911,41,926,51,929,53,934,53,939,54,938,57,941,56,945,57,945,60
52,70,165,687,589,683,580,683,569,686,557
18,5,175,846,315,852,323,858,336,861,341,864,356,869,363,878,381,885,391,891,401,896,418,901,425,919,459,928,465,932,488,938,495,947,522,958,540,965,552
53,75,175,398,593,398,583,406,573,397,564,403,558
7,5,180,687,107,681,105,682,101,681,97,681,84,680,81,678,80,677,76,676,72,675,66,673,60,671,56,670,53,671,44,669,42,669,38,669,34,658,32,656,31,653,30
45,50,200,1001,171,1001,181,1008,190,1017,195,1023,199,1027,205,1029,220,1032,227,1046,223,1044,243,1050,248,1056,263,1061,267,1064,273,1068,295
11,5,205,417,167,417,159,412,151,411,144,409,138,410,130,409,125,410,119,409,114,409,106,410,101,412,95,413,89,411,83,412,74,412,72,412,66,411,62,410,57,411,52,410,51,409,43,407,40,407,34,407,32
13,5,205,839,225,841,236,848,242,852,253,856,267,862,275,868,286,876,299,881,316,885,324,890,337,899,348,905,368,910,378,940,417,948,441,959,458,994,534,1011,547,1017,563
14,5,205,160,295,157,311,158,317,153,324,150,338,147,344,147,359,145,370,139,376,138,394,132,405,127,416,126,435,118,440,111,457,106,477,98,484,79,555,73,559,69,570,67,581,60,589
21,5,205,822,448,814,448,803,447,785,446,772,445,757,441,742,450,729,456,715,457,701,461,694,460,682,464,674,473,661,485,650,487,636,503,628,509,618,525,613,547,603,551,594,562,586,567,574,573,573,582,569,588
65,100,205,1069,147,1070,154,1070,157,1068,158,1069,168,1069,170
66,105,205,737,28,735,28,728,26,725,25,727,26
15,5,260,442,287,440,278,441,271,440,258,442,250,443,240,442,232,440,229,439,217,439,212,439,201,439,194,438,189,434,180,432,174,430,166,428,160,424,157,420,147,422,142,421,135,418,126,417,122,418,114,418,110,418,101,417,98,418,79,417,73,418,52
24,10,270,200,316,198,317,203,314,201,315,201,310,202,311,202,317,203,311,203,311,204,310,204,309,204,309,203,309,203,307,203,307,204,307,203,307,204,307,203,307,203,307,203,307,203,306,202,306,202,306,202,306,201,306,201,300,200,300,201,299,200,298,200,298,199,298,199,297,199,298
